question,pmid,abstract,translation1,translation2
46,33805605,"Cystic fibrosis is a monogenic, autosomal, recessive disease characterized by an alteration of chloride transport caused by mutations in the CFTR (Cystic Fibrosis Transmembrane Conductance Regulator) gene. The loss of Phe residue in position 508 (ΔF508-CFTR) causes an incorrect folding of the protein causing its degradation and electrolyte imbalance. CF patients are extremely predisposed to the development of a chronic inflammatory process of the bronchopulmonary system. When the cells of a tissue are damaged, the immune cells are activated and trigger the production of free radicals, provoking an inflammatory process. In addition to routine therapies, today drugs called correctors are available for mutations such as ΔF508-CFTR as well as for others less frequent ones. These active molecules are supposed to facilitate the maturation of the mutant CFTR protein, allowing it to reach the apical membrane of the epithelial cell. Matrine induces ΔF508-CFTR release from the endoplasmic reticulum to cell cytosol and its localization on the cell membrane. We now have evidence that Matrine and Lumacaftor not only restore the transport of mutant CFTR protein, but probably also counteract the inflammatory process by improving the course of the disease.","Cystic fibrosis is a deadly disease inherited from both parents characterized by changes in a compound (chloride) movement caused by genetic changes in the Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) gene. One gene change, ΔF508-CFTR, causes the resulting protein the gene creates to fold incorrectly, which leads to its destruction and mineral imbalance. CF patients are at very high risk of developing long-term inflammation (redness and swelling from fighting an infection) of part of the lungs. When tissue cells are damaged, immune cells are stimulated and produce unstable molecules, prompting the immune system to defend the body. In addition to normal treatments, drugs called correctors are available for changes like ΔF508-CFTR and other less common changes. Correctors help the CFTR protein form the right shape to move to the surface of the epithelial cell (cell that covers outer surface of the internal organs). Matrine, a drug, starts ΔF508-CFTR release from the cell's transportation system through the cell liquid to the surface. We now have proof that Matrine and Lumacaftor, another drug, not only allow the changed CFTR to move, but probably neutralize inflammation by improving the course of the disease.",
55,16935966,"Evidence is put forward to suggest that myalgic encephalomyelitis, also known as chronic fatigue syndrome, may be associated with persistent viral infection. In turn, such infections are likely to impair the ability of the body to biosynthesise n-3 and n-6 long-chain polyunsaturated fatty acids by inhibiting the delta-6 desaturation of the precursor essential fatty acids--namely, alpha-linolenic acid and linoleic acid. This would, in turn, impair the proper functioning of cell membranes, including cell signalling, and have an adverse effect on the biosynthesis of eicosanoids from the long-chain polyunsaturated fatty acids dihomo-gamma-linolenic acid, arachidonic acid and eicosapentaenoic acid. These actions might offer an explanation for some of the symptoms and signs of myalgic encephalomyelitis. A potential therapeutic avenue could be offered by bypassing the inhibition of the enzyme delta-6-desaturase by treatment with virgin cold-pressed non-raffinated evening primrose oil, which would supply gamma-linolenic acid and lipophilic pentacyclic triterpenes, and with eicosapentaenoic acid. The gamma-linolenic acid can readily be converted into dihomo-gamma-linolenic acid and thence arachidonic acid, while triterpenes have important free radical scavenging, cyclo-oxygenase and neutrophil elastase inhibitory activities. Furthermore, both arachidonic acid and eicosapentaenoic acid are, at relatively low concentrations, directly virucidal.","Scientific evidence suggests that myalgic encephalomyelitis, also known as chronic fatigue syndrome or long-lasting tiredness, may be associated with persistent viral infection. These infections may impair the body's ability to biosynthesize (create) fatty acids by inhibiting (blocking) the enzymatic reaction associated with essential fatty acids. This would, in turn, impair the proper functioning of cell membranes (cell boundaries), including cell signaling, and have an adverse effect on the biosynthesis of signaling molecules. These actions might offer an explanation for some of the symptoms and signs of myalgic encephalomyelitis. A potential treatment could be found in virgin cold-pressed primrose oil. The oil would supply gamma-linolenic acid and lipophilic pentacyclic triterpenes (specific fatty substances). The resulting acid and triterpenes would be further converted into beneficial compounds. Furthermore, the resulting compounds are virucidal or can destroy inactive viruses.",
21,28828685,"Purpose: Hiatal hernias are a common finding on radiographic or endoscopic studies. Hiatal hernias may become symptomatic or, less frequently, can incarcerate or become a volvulus leading to organ ischemia. This review examines latest evidence on the diagnostic workup and management of hiatal hernias. Methods: A literature review of contemporary and latest studies with highest quality of evidence was completed. This information was examined and compiled in review format. Results: Asymptomatic hiatal and paraesophageal hernias become symptomatic and necessitate repair at a rate of 1% per year. Watchful waiting is appropriate for asymptomatic hernias. Symptomatic hiatal hernias and those with confirmed reflux disease require operative repair with an anti-reflux procedure. Key operative steps include the following: reduction and excision of hernia sac, 3 cm of intraabdominal esophageal length, crural closure with mesh reinforcement, and an anti-reflux procedure. Repairs not amenable to key steps may undergo gastropexy and gastrostomy placement as an alternative procedure. Conclusions: Hiatal hernias are commonly incidental findings. When hernias become symptomatic or have reflux disease, an operative repair is required. A minimally invasive approach is safe and has improved outcomes.","Hiatal hernias, which occur when the upper part of the stomach pushes up through the diaphragm into the chest, are often found by x-ray and using a long, thin tube with a camera to look inside the body. Hiatal hernias may cause symptoms or, less often, can become trapped or twisted, cutting off blood flow to organs. This review looks at the latest studies on the diagnosis and treatment of hiatal hernias. We reviewed the strongest current and most recent studies. We studied this information and put it in an easily reviewable format. We found that hiatal hernias without symptoms develop symptoms and need repair at a rate of 1% per year. Watching without treatment unless symptoms appear or change is suggested for people with hernias with no symptoms. Hiatal hernias with symptoms and those with stomach acid reflux disease need surgery with an anti-reflux procedure. Surgery has key steps. When these key steps can't be done, stitching the stomach to the diaphragm and inserting a feeding tube is another option. We conclude that hiatal hernias are often found when looking for something else. When hernias cause symptoms or have reflux disease, surgery is needed. A minimally invasive treatment is safe and has improved results.","Hiatal hernias, in which the stomach bulges into the chest, are common clinical findings. Hiatal hernias can lead to unwanted symptoms, trapped or twisted intestines, and reduced blood flow to certain body parts. This review examines the latest works on identifying and managing these stomach bulges into the chest.  No-symptom stomach or organ bulges into the chest acquire symptoms and need repair at a rate of 1% per year. Watchful waiting is appropriate for these no-symptom organ bulges into the chest. Hiatal hernias with unwanted symptoms and stomach acid reflux into throat need special, anti-reflux surgery. Key surgery steps include: cutting out the bulging sac, 3 cm of the lower esophagus, closing the site with mesh, and an anti-acid reflux operation. Repairs not possible with common surgery may need stitching and opening of the stomach instead. Hiatal hernias are common. When organ bulges lead to awful symptoms or stomach acid reflux, surgery is needed. A small incision surgery is safe and has improved outcomes."
36,32809722,"Renal stones pose a significant burden on the health care system. The prevalence of renal stones has increased from 3.8% in 1970 to 8.8% in 2010 in the United States, with annual healthcare costs of USD 3.8 billion. It is estimated that more than half a million people a year visit the emergency room for kidney stone problems. The most common presenting symptoms include hematuria, pain in the flank, groin, or abdomen. There are many treatment modalities available for managing renal stones. They range from completely non-invasive outpatient procedures to invasive procedures requiring hospital admission and increased risks of complications. Extracorporeal shockwave lithotripsy (ESWL) is a truly non-invasive procedure as opposed to other surgical treatments used, such as retrograde intrarenal surgery (RIRS) and percutaneous nephrolithotomy (PCNL). The efficacy of ESWL lies in its ability to pulverize calculi in vivo into smaller segments, which are them expelled spontaneously by the boy. Shockwaves are generated and are then focused on a point within the body. The shockwaves propagate through the body with minimal dissipation of energy (and therefore damage) due to minimal difference in density of the soft tissues. At the stone fluid interface, a relatively significant difference in density, combined with a large concentration of multiple shockwaves in a small area, produces a significant dissipation of energy. Through the different mechanisms, this energy can overcome the tensile strength of the stone resulting in fragmentation. Repetition of this process leads to the pulverization of the stone into small fragments that the body then can pass painlessly and spontaneously.","Kidney stones are a major burden on health care. The proportion of cases of kidney stones has increased from 3.8% in 1970 to 8.8% in 2010 in the United States, with yearly healthcare costs of 3.8 billion US dollars. More than half a million people a year visit the emergency room for kidney stone issues. The most common symptoms are blood in the urine and pain at or near the abdomen. There are many treatment options for kidney stones. They range from non-surgical away-from-hospital treatments to surgical procedures needing hospital care and increased risks of side effects. Extracorporeal shockwave lithotripsy (ESWL), or kidney stone removal with shockwaves, is a truly non-srugical procedure compared to other surgical treatments like kidney surgery with a camera tube and making a small skin cut to remove stones. The success of ESWL comes from pulverizing stones into small stones, which are removed naturally by the body. Shockwaves are created and focused on a point in the body. The shockwaves spread through the body with minimal loss of energy (and therefore damage) due to small density or hardness differences of the surrounding body parts. At the boundary between the stone and body fluid, a large difference in hardness, along with many shockwaves in one area, creates a large burst of energy. Via different mechanisms, this energy can break up the stone. Repeating this process pulverzies the stone into small fragments that the body can remove painlessly and naturally.","Kidney stones are a major burden on the health care system. The number of kidney stones has increased from 3.8% in 1970 to 8.8% in 2010 in the United States, and yearly healthcare costs are at $3.8 billion. It is estimated that more than half a million people a year visit the emergency room for kidney stone problems. The most common symptoms include blood in the urine, pain in the back and sides, groin, or stomach area (abdomen). There are many treatment methods available for managing kidney stones. These options range from non-invasive (non-surgical) outpatient procedures that do not require hospital stays to invasive (surgical) procedures requiring staying in the hospital and an increased risk of complications. Extracorporeal shockwave lithotripsy (ESWL) is a truly non-invasive procedure as opposed to other surgical treatments used, such as retrograde intrarenal surgery (RIRS) and percutaneous nephrolithotomy (PCNL) that require an incision into the skin. ESWL is effective because it can crush stones inside the body into smaller parts, which are then released from the body when going to the bathroom. Shockwaves are generated and focused on a point within the body. The shockwaves go through the body with little damage to surrounding tissues. When the stone changes, there is a big difference in the density of the stone which may produce a larger reach of energy due to a lot of shockwaves in a small area of the body. This energy can overpower the strength of the stone, resulting in breaking the stone into smaller parts. Repeating this process leads to the pulverizing of the stone into small fragments that the body can then pass through the body with no pain."
11,32654164,"Metabolic epilepsies arise in the context of rare inborn errors of metabolism (IEM), notably glucose transporter type 1 deficiency syndrome, succinic semialdehyde dehydrogenase deficiency, pyruvate dehydrogenase complex deficiency, nonketotic hyperglycinemia, and mitochondrial cytopathies. A common feature of these disorders is impaired bioenergetics, which through incompletely defined mechanisms result in a wide spectrum of neurological symptoms, such as epileptic seizures, developmental delay, and movement disorders. The ketogenic diet (KD) has been successfully utilized to treat such conditions to varying degrees. While the mechanisms underlying the clinical efficacy of the KD in IEM remain unclear, it is likely that the proposed heterogeneous targets influenced by the KD work in concert to rectify or ameliorate the downstream negative consequences of genetic mutations affecting key metabolic enzymes and substrates-such as oxidative stress and cell death. These beneficial effects can be broadly grouped into restoration of impaired bioenergetics and synaptic dysfunction, improved redox homeostasis, anti-inflammatory, and epigenetic activity. Hence, it is conceivable that the KD might prove useful in other metabolic disorders that present with epileptic seizures. At the same time, however, there are notable contraindications to KD use, such as fatty acid oxidation disorders. Clearly, more research is needed to better characterize those metabolic epilepsies that would be amenable to ketogenic therapies, both experimentally and clinically. In the end, the expanded knowledge base will be critical to designing metabolism-based treatments that can afford greater clinical efficacy and tolerability compared to current KD approaches, and improved long-term outcomes for patients.","Metabolic epilepsies (a disorder that disturbs brain and nerve activity and causes seizures) are present with rare, inborn errors of metabolism (IEM), especially with deficiencies of certain energy-monitoring molecules. These disorders commonly include weakened energy-monitoring processes, which lead to a range of nerve-related effects, including epileptic seizures, growth delay, and movement disorders. The ketogenic diet (KD) (a low-carb diet) has successfully treated these conditions to some effect. While the reasons for the usefulness of KD or low-carb diets in inborn errors of metabolism is unclear, it may be because certain targets of KD work together to improve the negative effects from gene sequence changes affecting key metabolic particles, cell stress, and cell death. These helpful effects can be grouped into restoration of weakened energy-monitoring processes and nerve-related damage, improved electrical balance, anti-inflammation, and gene-related activity. Therefore, it is possible that KD may help other metabolic disorders with epileptic seizures. However, there are issues with KD use, including fat breakdown disorders. More research is needed to explain metabolic epilepsies (disorders that disturbe brain and nerve activity and cause seizures) that may be treated with low-carb treatments. Ultimately, this new knowledge will be useful to design metabolic treatments that can further help patients compared to current KD approaches, with better long-term outcomes for patients.","Metabolic epilepsies (seizures) arise in the context of rare hereditary or inborn errors of metabolism (IEM) and can be caused in rare disorders. A common feature of these disorders is they cause brain-related symptoms, such as epileptic seizures, developmental delay (delays in reaching language, thinking, social, or motor skills), and movement disorders. The ketogenic diet, a low-carb/high-fat diet, has been successfully used to treat such conditions. How a ketogenic diet exactly impacts inborn errors of metabolism is not known, but it is likely that they influence the negative impacts of genetic mutations. Benefits of a ketogenic diet are broadly grouped into restoration of parts of metabolism that are impaired, improved maintenance of cells and cells processes, reduced pain and swelling, and processes that control gene activity without changing the DNA. It is possible that a ketogenic diet may be useful in other disorders of metabolism that include epileptic seizures. At the same time, there are some disorders where ketogenic diets should be avoided. More research is needed to better describe metabolic epilepsies that would benefit from a ketogenic diet. Expanding knowledge will be important to design metabolism-based treatments."
23,24882081,"Detection of individuals with phenylketonuria (PKU), an autosomal recessively inherited disorder in phenylalanine degradation, is straightforward and efficient due to newborn screening programs. A recent introduction of the pharmacological treatment option emerged rapid development of molecular testing. However, variants responsible for PKU do not all suppress enzyme activity to the same extent. A spectrum of over 850 variants, gives rise to a continuum of hyperphenylalaninemia from very mild, requiring no intervention, to severe classical PKU, requiring urgent intervention. Locus-specific and genotypes database are today an invaluable resource of information for more efficient classification and management of patients. The high-tech molecular methods allow patients' genotype to be obtained in a few days, especially if each laboratory develops a panel for the most frequent variants in the corresponding population.","Checks for conditions that affect newborns make finding individuals with phenylketonuria (PKU), a disorder inherited from both parents in which the body cannot properly turn a substance (phenylalanine) into energy, easy and effective. A recent drug treatment option brought fast development of a lab method that checks for certain genes, proteins, or other molecules that may be a sign of a disease. However, genetic alternations that cause PKU do not equally reduce protein activity. A range of over 850 genetic alterations causes elevated phenylalanine blood levels from very mild with no treatment to severe PKU, which needs immediate treatment. Databases of physical gene locations and alterations carried in a gene allow effective classification and treatment of patients. The lab method that checks for certain genes, proteins, or other molecules determines a patient's genetic alterations in a few days, especially if each lab comes up with a test to look for alterations in more than one gene for the most common alterations in a group of people.",
13,24088747,"Objective: Nighttime onset of atrial fibrillation (AF) is sometimes associated with obstructive sleep apnea accompanied by a characteristic heart rate (HR) pattern known as cyclical variation of HR. The aim of this study was to evaluate whether cyclical variation of HR is prevalent in patients with nocturnal AF. Methods: The subjects consisted of 34 patients (68±12 years) with paroxysmal AF, including 14 patients with daytime AF and 20 patients with nighttime AF. Holter electrocardiogram (ECGs) were examined for the presence of cyclical variation in HR and to quantify the HR variability within the 40-minute period preceding each AF episode using a fast Fourier transform (FFT) methods. Results: Cyclical variation in HR was observed in 12 of 20 (60%) nighttime episodes and in only two of 14 (14%) daytime episodes. The prevalence of cyclical variation in HR was significantly greater in the nighttime AF episodes than in the daytime AF episodes (Chi=5.34, p<0.05). The mean frequency of cyclical variation in HR was 0.015±0.003 Hz. The mean power of the VLF (very low frequency) component (0.008-0.04 Hz) before the onset of AF was significantly greater in the nighttime AF episodes than in the daytime AF episodes. Among the nighttime AF episodes, the power of the HF (high frequency), LF (low frequency) and very low frequency (VLF) components increased significantly just before the onset of AF compared with that observed 40 minutes before onset. Conclusion: The high prevalence of cyclical variation in HR observed before nocturnal AF episodes suggests that sleep apnea may play a role in the onset of nighttime AF.","Nighttime onset of atrial fibrillation (a fluttery and irregular heartbeat that can lead to blood clots or stroke) is sometimes associated with obstructive sleep apnea (where muscles in the throat relax, the airway is narrowed or closed, and breathing is momentarily cut off) along with a specific heart rate pattern called cyclical variation. This study determines whether cyclical variation of heart rate is common in patients with nighttime atrial fibrillation (AF). There are 34 patients in the study with paroxysmal AF (when the heart rate returns to normal within 7 days on its own or with treatment), including 14 patients with daytime AF and 20 patients with nighttime AF. The presence of cyclical variation in heart rate is examined, and the heart rate differences are measured and counted 40 minutes before each AF episode. Cyclical variation in heart rate is found in 12 of 20 (60%) nighttime episodes and only in two of 14 (14%) daytime episodes. Cyclical variation in heart rate was much greater in the nighttime AF than in daytime AF episodes.  The high presence of cyclical variation in heart rate found before nighttime atrial fibrillation episodes suggests that sleep apnea may play a role in the onset of nighttime atrial fibrillation.",
49,26692738,"46 year old male with past medical history of schizoaffective disorder and chronic lower back pain, was admitted for management of worsening depression and anxiety. He was started on gabapentin, 300mg twice daily for his back pain and anxiety symptoms. His only other medication was hydrocodone. Over next few days, he started developing worsening bilateral lower extremity edema. He did not have any cardiovascular related symptoms. Physical exam was only significant for 3+ pitting edema with all laboratory values and imaging being unremarkable. Gabapentin was discontinued and his lower extremity swelling improved over subsequent days. Incidence of pedal edema with gabapentin use is approximately 7 to 7.5% with all studies being in elderly patients receiving doses above 1200 mg/day. This case illustrates that lower doses of gabapentin can also cause this adverse effect. It is important to recognize this adverse effect because gabapentin is used in conditions like diabetic neuropathy, which is associated with multiple co-morbidities that can give rise to bilateral leg swelling. Presence of gabapentin induced leg swelling can thus confound the clinical picture.","A 46 year old male with past medical history of schizoaffective (reality-distorting) disorder, a mental disorder, and chronic lower back pain, is admitted to a medical facility to manage worsening depression and anxiety. He is started on a medicine called gabapentin (nerve pain medication) for his back pain and anxiety symptoms. His only other medication is an opioid pain reliever called hydrocodone. Over the next few days, he starts developing worsening edema, swelling caused by too much fluid trapped in the body's tissues, in both legs. He does not have any cardiovascular (heart) related symptoms. A physical exam found pitting edema, where pressing into the swollen area leaves a pit or indentation. All other lab tests and imaging scans did not show anything significant. Gabapentin is stopped and the swelling in his legs improved over the following days. In other studies, the occurrence of swollen feet (pedal edema) while on gabapentin is about 7 to 7.5% in elderly patients receiving doses above 1200 mg/day. This case illustrates that lower doses of gabapentin can also cause this negative effect. It is important to recognize this negative effect because gabapentin is used in conditions like nerve damage common with diabetes (diabetic neuropathy), which is associated with multiple illnesses that can give rise to swelling in both legs. ","We admitted a 46 year old male to treat his worsening depression and anxiety. He had a prior history of symptoms of schizophrenia and mood disorders and long-lasting lower back pain. He was started on gabapentin (nerve pain medication), 300 mg twice daily for his back pain and anxiety symptoms. His only other medication was hydrocodone, a pain and cough medication. Over the next few days, he developed worsening swelling in both legs. He did not have any heart-related symptoms. Physical exam only noted serious swelling with all lab values and imaging not being serious. Gabapentin use was stopped, and his leg swelling improved over the next few days. Frequency of leg swelling with gabapentin use is around 7 to 7.5% with all studies being in elderly patients receiving doses above 1200 mg/day. This case shows that lower doses of gabapentin can also cause this harmful effect. This serious effect should be noted since gabapentin is used in conditions like diabetic nerve pain, which is linked with other diseases that can give rise to swelling in both legs. Presence of gabapentin-caused leg swelling can thus confuse the diagnosis."
33,28070716,"Pharmacokinetic data of gabapentin (GBP) in community-dwelling elderly patients show a significant effect of advanced age on GBP pharmacokinetics due to altered renal function. However, there are no data in elderly nursing home (NH) patients to evaluate gabapentin absorption and elimination. Our objective was to characterize the pharmacokinetics of GBP in elderly nursing home patients maintained on GBP therapy. This was a prospective pharmacokinetic study in elderly nursing home patients (≥60 years) receiving GBP for the management of chronic pain or epilepsy from seven nursing homes. Pharmacokinetic parameters were estimated by nonlinear mixed-effects modeling. A one-compartment model described the data and clearance (CL) was associated with estimated glomerular filtration rate (eGFR) (p < 0.0001). The GBP CL in elderly nursing home patients was 2.93 L/h. After adjusting for the effect of GFR, GBP CL was not affected by age, sex, body weight, or comorbidity scores. No significant effects of body size measures, age, and sex were detected on volume of distribution. Dose-dependent bioavailability of GBP was demonstrated, and the saturable absorption profile was described by a nonlinear hyperbolic function. Prediction-corrected visual predictive check (pc-VPC) suggests adequate fixed- and random-effects models that successfully simulated the mean trend and variability in gabapentin concentration-time profiles. In this analysis, the parameters of the hyperbolic nonlinearity appear to be similar between elderly and younger adults.","Data on how gabapentin (GBP -a nerve-related pain medication) is used in the body in elderly patients show a major effect of older age on how the drug works due to changes in kidney function. However, there are no data in elderly nursing home patients to evaluate how the body absorbs and removes gabapentin. The objective of this study is to describe how the body uses and processes gabapentin in elderly nursing home patients who are on gabapentin. This study observed elderly nursing home patients (≥60 years) receiving gabapentin for chronic (ongoing) pain or epilepsy (seizure disorders) from 7 nursing homes. Data on gabapentin and the clearance of the drug are associated with the rate that measures how well the kidneys are working. The gabapentin clearance in elderly nursing home patients was 2.93 liters per hour. After accounting for the rate that measures how well the kidneys are working, GBP clearance is not affected by age, sex, body weight, or other illnesses and their medications. No significant effects of body size measures, age, and sex are detected on volume of distribution, the ability of various drugs to distribute through the body fluids. The availability of the drug being dependent on dosage is shown, and how it is absorbed is calculated. Additional calculations are done on the entire group to evaluate the performance of the drug and identify other individual factors that may impact the effect. In this analysis, the patterns of the drug appear to be similar between elderly and younger adults.","Drug activity data of gabapentin (GBP) in community-dwelling elderly patients show a great effect of advanced age on GVP drug activity due to altered kidney function. However, there are no data in elderly nursing home (NH) patients to measure gabapentin absorption and elimination. We characterize the drug activity of GBP in elderly nursing home patients that are on GBP therapy. This is a drug actvity study in elderly nursing home patients (≥60 years) given GBP for long-term pain or epilepsy (brain disorder causing seizures) from seven nursing homes. A mathematical model showed the data and clearance (CL) was linked with estimated kidney filtration rate. The GBP clearance in elderly nursing home patients was 2.93 liters/hour. After adjusting for kidney filtration, GBP clearance was not affected by age, sex, body weight, or associated diseases. No effects of body size, age, and sex were detected on amount of distribution. Functional or active GBP amount is linked to dose amount. Analysis suggests certain mathematical models successfully tracked the trend and variation in gabapentin amount over time. In this analysis, certain measures seem similar between elderly and young adults."
30,33368332,"Diagnosis of severe acute respiratory syndrome coronavirus 2 (SARS-COV-2) cases is based on the count of real-time reverse transcription-plymerase chain reaction (RT-PCR) positive people. Viral load by real-time RT-PCR has been suggested as a biomarker of the SARS-CoV-2 infection. However, the association of viral load and severity of the disease is not yet resolved. Nasopharyngeal samples from 458 patients were tested by RT-PCR for SARS-CoV-2 diagnosis. Relative quantitation was made by the comparative threshold cycle (ΔΔCt ) formula between ORF1ab viral and RNase P housekeeping genes. Absolute viral load was calculate using a reference positive control. Most prevalent clinical signs were cough (75.8%), myalgia (66.7%), and fever (48.5%). Hypertension (18.2%), neurological diseases (15.1%), and asthma and hypothyroidism (12.1%) were most frequent comorbidities. Fever, either as an exclusive symptom or combined with others, was associated with high viral loads ( 2−ΔΔCt range, 35.65-155.16; 4.25-4.89 log10 RNA copies/test]). During the first week after onset of symptoms in mild patients up to 60 years-old was detected the peak of viral load. Children under 10 years old have a high viral load (313.84; 2.50) in the first 2 days postinfection with a sharp decline thereafter. Cases between 10 and 49 years old mostly showed low and moderate viral load during the first 2 days postinfection (range, 0.03 to 17.24; -1.50 to 1.24). Patients over 60 years old have high viral load up to the second week after the onset of symptoms (range, 25.32-155.42; 1.40-2.19), indicating the longer presence of the virus in them. These findings suggest the viral load in nasopharyngeal swabs would help to monitor the SARS-CoV-2 infection in mild coronavirus disease 2019 cases.","Diagnosis of cases of coronavirus (a virus causing the lung infection known as Covid-19) is based on the count of positive RT-PCR tests, a type of test that looks for traces of DNA from the virus and signals positive if there is virus present. The amount of virus in the body, called the viral load, measured by the RT-PCR test is seen as an indication of coronavirus infection. However, the association of the amount of virus and the severity of the disease is not yet understood. Samples from the back of the nose from 458 patients are tested by RT-PCR for coronavirus. Additional tests are done to measure the viral load. The most common signs are cough, muscle aches and pains, and fever. High blood pressure, diseases affecting the brain and nerves, asthma, and hypothyroidism (not enough thyroid hormone in the body) were the most frequent conditions of other illnesses. Fever, either as the only symptom or combined with others, is associated with high viral loads. During the first week after symptoms start in mild patients up to 60 years-old is the peak of viral load. Children under 10 years old have a high viral load in the first 2 days post-infection followed by a sharp decline. Cases between 10 and 49 years old mostly showed low and moderate viral load during the first 2 days after infection. Patients over 60 years old have high viral load up to the second week after the start of symptoms, indicating the virus stays present in them longer. These findings suggest the viral load in swabs from the nose would help to monitor the coronavirus infection in mild coronavirus disease 2019 cases.","Detecting cases of severe acute respiratory syndrome coronavirus 2 (SARS-COV-2), which causes a breathing-related viral disease, is based on the count of people which a certain molecular test (real-time RT-PCR) detects. Viral amount by real-time RT-PCR may be a signal of the SARS-CoV-2 infection. However, the link between viral amount and severity of the disease is unknown. Nasal samples from 458 patients were tested by RT-PCR for SARS-CoV-2.  Most common symptoms were cough (75.8%), muscle pain (66.7%), and fever (48.5%). High blood pressure (18.2%), brain-related diseases (15.1%), and asthma and reduced thyroid function, which affects metabolism, (12.1%) were the most frequent associated conditions. Fever, either alone or with other symptoms, was linked with a high virus amount. The peak of the virus amount was detected in the first week after symptoms started in mild patients up to 60 years-old. Children under 10 years have a high virus amount in the first 2 days after infection with a sharp decline after. Cases between 10 and 49 years mostly showed low to medium virus amount during the first 2 days after infection. Patients over 60 years have a high virus amount up to the second week after symptoms start, indicating the longer presence of the virus in them. The virus amount in nasal swabs may help monitor the SARS-CoV-2 infection in cases of mild coronavirus disease 2019, a breathing-related viral disease."
